"Statistic Label","Year","Type of Urban or Rural Area","Small Area","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Cities","267104020","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167054004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268003011","Number","230"
"Population Usually Resident and Present in the State","2022","Cities","267147025/02","Number","641"
"Population Usually Resident and Present in the State","2022","Cities","097063009","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268100016","Number","190"
"Population Usually Resident and Present in the State","2022","Cities","027034001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","127018023","Number","215"
"Population Usually Resident and Present in the State","2022","Cities","187087017","Number",""
"Population Usually Resident and Present in the State","2022","Cities","257078004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","107089001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","237077002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087025021","Number",""
"Population Usually Resident and Present in the State","2022","Cities","117039001/117039003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077161006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","027066001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","257027002/01","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047324023","Number",""
"Population Usually Resident and Present in the State","2022","Cities","027016001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","157014001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","137051001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057106024","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077128014","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267132040","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047159004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268041003","Number","287"
"Population Usually Resident and Present in the State","2022","Cities","017044001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268140015","Number","434"
"Population Usually Resident and Present in the State","2022","Cities","037057016","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057130002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247035002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","097051002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047277004","Number","291"
"Population Usually Resident and Present in the State","2022","Cities","047294009","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057002012","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267041014","Number","227"
"Population Usually Resident and Present in the State","2022","Cities","067109001/067109002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268048005","Number","174"
"Population Usually Resident and Present in the State","2022","Cities","047054006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","227032018/227032019","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268100012","Number","178"
"Population Usually Resident and Present in the State","2022","Cities","087050024","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267156001","Number","217"
"Population Usually Resident and Present in the State","2022","Cities","047090013/02/047090014","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087047002/01","Number",""
"Population Usually Resident and Present in the State","2022","Cities","127001010","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268012002","Number","353"
"Population Usually Resident and Present in the State","2022","Cities","087069006/01","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047298015","Number","366"
"Population Usually Resident and Present in the State","2022","Cities","067107001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247081002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267004005","Number","209"
"Population Usually Resident and Present in the State","2022","Cities","047222009","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267094012","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267104024","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047033009","Number",""
"Population Usually Resident and Present in the State","2022","Cities","228022002","Number","197"
"Population Usually Resident and Present in the State","2022","Cities","077089003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268132014","Number","233"
"Population Usually Resident and Present in the State","2022","Cities","157014007","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167085001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047267005/02","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057020011","Number",""
"Population Usually Resident and Present in the State","2022","Cities","187005001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267080025","Number","298"
"Population Usually Resident and Present in the State","2022","Cities","267015004","Number","267"
"Population Usually Resident and Present in the State","2022","Cities","107072012","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267070002","Number","208"
"Population Usually Resident and Present in the State","2022","Cities","167065067/02","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268085012/268085001/02","Number","299"
"Population Usually Resident and Present in the State","2022","Cities","047173006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","067047002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","067170023","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267141007","Number","355"
"Population Usually Resident and Present in the State","2022","Cities","268016009","Number","273"
"Population Usually Resident and Present in the State","2022","Cities","087077001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268072003","Number","297"
"Population Usually Resident and Present in the State","2022","Cities","077112001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","177050001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268134011","Number","201"
"Population Usually Resident and Present in the State","2022","Cities","067173003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077160027","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217041006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","157002003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217010002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","127018013","Number","265"
"Population Usually Resident and Present in the State","2022","Cities","047186004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167042005","Number",""
"Population Usually Resident and Present in the State","2022","Cities","228031006","Number","131"
"Population Usually Resident and Present in the State","2022","Cities","267142007","Number","386"
"Population Usually Resident and Present in the State","2022","Cities","047151015","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267150009","Number","192"
"Population Usually Resident and Present in the State","2022","Cities","217046007","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268150009","Number","224"
"Population Usually Resident and Present in the State","2022","Cities","268073009","Number","419"
"Population Usually Resident and Present in the State","2022","Cities","047082004/047082005","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267149008","Number","168"
"Population Usually Resident and Present in the State","2022","Cities","127117001/02","Number",""
"Population Usually Resident and Present in the State","2022","Cities","037156002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","048032003","Number","279"
"Population Usually Resident and Present in the State","2022","Cities","057004005","Number",""
"Population Usually Resident and Present in the State","2022","Cities","207036002","Number",""
