"Statistic Label","Census Year","Towns 2022","Means of Travel","UNIT","VALUE"
"Usually resident by means of travel to school, college or childcare","2022","Macroom, Co Cork","Work mainly at or from home","Number","7"
"Usually resident by means of travel to school, college or childcare","2022","Macroom, Co Cork","Not stated","Number","58"
"Usually resident by means of travel to school, college or childcare","2022","Macroom, Co Cork","Total","Number","1093"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","On Foot","Number","15"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Bus, minibus or coach","Number","17"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Car Driver","Number","5"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Car passenger","Number","20"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Not stated","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Rathcoole, Co Cork","Total","Number","60"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","On Foot","Number","16"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Bus, minibus or coach","Number","20"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Car Driver","Number","14"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Car passenger","Number","135"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Not stated","Number","10"
"Usually resident by means of travel to school, college or childcare","2022","Newmarket, Co Cork","Total","Number","197"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","On Foot","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Bus, minibus or coach","Number","9"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Car Driver","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Car passenger","Number","26"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Not stated","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Clondrohid, Co Cork","Total","Number","43"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","On Foot","Number","33"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Bicycle","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Bus, minibus or coach","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Car Driver","Number","8"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Car passenger","Number","72"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Van","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Not stated","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Rosscarbery, Co Cork","Total","Number","127"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","On Foot","Number","63"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Bus, minibus or coach","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Train, DART or LUAS","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Car Driver","Number","20"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Car passenger","Number","227"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Work mainly at or from home","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Not stated","Number","46"
"Usually resident by means of travel to school, college or childcare","2022","Millstreet, Co Cork","Total","Number","370"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","On Foot","Number","40"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Bicycle","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Bus, minibus or coach","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Car Driver","Number","7"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Car passenger","Number","39"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Not stated","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Boherbue, Co Cork","Total","Number","94"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","On Foot","Number","123"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Bicycle","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Bus, minibus or coach","Number","27"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Car Driver","Number","24"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Car passenger","Number","261"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Van","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Work mainly at or from home","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Not stated","Number","63"
"Usually resident by means of travel to school, college or childcare","2022","Dunmanway, Co Cork","Total","Number","504"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","On Foot","Number","5"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Bus, minibus or coach","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Car Driver","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Car passenger","Number","17"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Not stated","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Inchigeelagh, Co Cork","Total","Number","26"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","On Foot","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Bus, minibus or coach","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Car Driver","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Car passenger","Number","5"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Van","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Work mainly at or from home","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Not stated","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Leap, Co Cork","Total","Number","13"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","On Foot","Number","23"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Bus, minibus or coach","Number","26"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Car Driver","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Car passenger","Number","32"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Not stated","Number","7"
"Usually resident by means of travel to school, college or childcare","2022","Unionhall, Co Cork","Total","Number","90"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","On Foot","Number","30"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Bicycle","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Bus, minibus or coach","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Car Driver","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Car passenger","Number","55"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Not stated","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Baile Mhic Íre, Co Cork","Total","Number","96"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","On Foot","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Bus, minibus or coach","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Car Driver","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Car passenger","Number","14"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Not stated","Number","10"
"Usually resident by means of travel to school, college or childcare","2022","Castletownshend, Co Cork","Total","Number","30"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","On Foot","Number","14"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Bus, minibus or coach","Number","9"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Car Driver","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Car passenger","Number","11"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Not stated","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Knocknagree, Co Cork","Total","Number","41"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","On Foot","Number","7"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Bus, minibus or coach","Number","8"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Car Driver","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Car passenger","Number","22"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Not stated","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydesmond, Co Cork","Total","Number","41"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","On Foot","Number","11"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Bus, minibus or coach","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Car Driver","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Car passenger","Number","34"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Not stated","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Béal Átha An Ghaorthaidh, Co Cork","Total","Number","51"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","On Foot","Number","19"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Bicycle","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Bus, minibus or coach","Number","20"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Car Driver","Number","7"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Car passenger","Number","48"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Not stated","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Drimoleague, Co Cork","Total","Number","98"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","On Foot","Number","194"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Bicycle","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Bus, minibus or coach","Number","23"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Car Driver","Number","16"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Car passenger","Number","395"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Work mainly at or from home","Number","5"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Not stated","Number","69"
"Usually resident by means of travel to school, college or childcare","2022","Skibbereen, Co Cork","Total","Number","703"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","On Foot","Number","10"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Bus, minibus or coach","Number","41"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Train, DART or LUAS","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Car Driver","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Car passenger","Number","19"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Van","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Not stated","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Baltimore, Co Cork","Total","Number","78"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","On Foot","Number","161"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Bicycle","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Bus, minibus or coach","Number","27"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Car Driver","Number","21"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Car passenger","Number","305"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Van","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Work mainly at or from home","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Not stated","Number","67"
"Usually resident by means of travel to school, college or childcare","2022","Bantry, Co Cork","Total","Number","591"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","On Foot","Number","15"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Bus, minibus or coach","Number","9"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Car Driver","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Car passenger","Number","20"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Not stated","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Ballydehob, Co Cork","Total","Number","52"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","On Foot","Number","15"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Bus, minibus or coach","Number","26"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Car Driver","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Car passenger","Number","44"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Not stated","Number","5"
"Usually resident by means of travel to school, college or childcare","2022","Durrus, Co Cork","Total","Number","94"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","On Foot","Number","40"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Bus, minibus or coach","Number","5"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Motorcycle or scooter","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Car Driver","Number","7"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Car passenger","Number","62"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Van","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Not stated","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Schull, Co Cork","Total","Number","122"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","On Foot","Number","7"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Bus, minibus or coach","Number","16"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Car Driver","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Car passenger","Number","10"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Not stated","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Glengarriff, Co Cork","Total","Number","38"
"Usually resident by means of travel to school, college or childcare","2022","Castletownbere, Co Cork","On Foot","Number","70"
"Usually resident by means of travel to school, college or childcare","2022","Castletownbere, Co Cork","Bicycle","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Castletownbere, Co Cork","Bus, minibus or coach","Number","4"
