"Statistic Label","Census Year","Towns 2022","Means of Travel","UNIT","VALUE"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Not stated","Number","1578"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Total","Number","19199"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","On Foot","Number","6"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Bicycle","Number","1"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Bus, minibus or coach","Number","3"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Car Driver","Number","59"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Car passenger","Number","2"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Van","Number","7"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Work mainly at or from home","Number","13"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Not stated","Number","4"
"Usually resident by means of travel to work","2022","Annagassan, Co Louth","Total","Number","96"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","On Foot","Number","35"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Bicycle","Number","4"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Bus, minibus or coach","Number","24"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Train, DART or LUAS","Number","3"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Motorcycle or scooter","Number","3"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Car Driver","Number","303"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Car passenger","Number","22"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Van","Number","32"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Work mainly at or from home","Number","51"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Not stated","Number","43"
"Usually resident by means of travel to work","2022","Castlebellingham-Kilsaran, Co Louth","Total","Number","521"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","On Foot","Number","82"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Bicycle","Number","4"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Bus, minibus or coach","Number","36"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Train, DART or LUAS","Number","2"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Motorcycle or scooter","Number","2"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Car Driver","Number","523"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Car passenger","Number","50"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Van","Number","60"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Other (incl. lorry)","Number","6"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Work mainly at or from home","Number","67"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Not stated","Number","44"
"Usually resident by means of travel to work","2022","Dunleer, Co Louth","Total","Number","876"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","On Foot","Number","1715"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Bicycle","Number","700"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Bus, minibus or coach","Number","819"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Train, DART or LUAS","Number","172"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Motorcycle or scooter","Number","52"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Car Driver","Number","8544"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Car passenger","Number","1029"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Van","Number","690"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Other (incl. lorry)","Number","34"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Work mainly at or from home","Number","1892"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Not stated","Number","1533"
"Usually resident by means of travel to work","2022","Dundalk, Co Louth","Total","Number","17180"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","On Foot","Number","11"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Bicycle","Number","7"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Bus, minibus or coach","Number","15"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Train, DART or LUAS","Number","2"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Motorcycle or scooter","Number","2"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Car Driver","Number","359"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Car passenger","Number","40"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Van","Number","52"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Work mainly at or from home","Number","63"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Not stated","Number","23"
"Usually resident by means of travel to work","2022","Dromiskin, Co Louth","Total","Number","575"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","On Foot","Number","20"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Bicycle","Number","3"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Bus, minibus or coach","Number","25"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Train, DART or LUAS","Number","8"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Motorcycle or scooter","Number","2"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Car Driver","Number","515"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Car passenger","Number","42"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Van","Number","62"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Work mainly at or from home","Number","58"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Not stated","Number","24"
"Usually resident by means of travel to work","2022","Tullyallen, Co Louth","Total","Number","760"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","On Foot","Number","2"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Bicycle","Number","0"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Bus, minibus or coach","Number","3"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Train, DART or LUAS","Number","3"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Car Driver","Number","156"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Car passenger","Number","18"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Van","Number","19"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Work mainly at or from home","Number","31"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Not stated","Number","7"
"Usually resident by means of travel to work","2022","Tinure, Co Louth","Total","Number","239"
"Usually resident by means of travel to work","2022","Collon, Co Louth","On Foot","Number","10"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Bicycle","Number","3"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Bus, minibus or coach","Number","26"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Car Driver","Number","238"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Car passenger","Number","13"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Van","Number","26"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Work mainly at or from home","Number","35"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Not stated","Number","15"
"Usually resident by means of travel to work","2022","Collon, Co Louth","Total","Number","368"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","On Foot","Number","6"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Bicycle","Number","0"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Bus, minibus or coach","Number","9"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Train, DART or LUAS","Number","2"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Motorcycle or scooter","Number","2"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Car Driver","Number","226"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Car passenger","Number","12"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Van","Number","26"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Work mainly at or from home","Number","40"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Not stated","Number","10"
"Usually resident by means of travel to work","2022","Knockbridge, Co Louth","Total","Number","334"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","On Foot","Number","259"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Bicycle","Number","32"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Bus, minibus or coach","Number","80"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Motorcycle or scooter","Number","2"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Car Driver","Number","1237"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Car passenger","Number","105"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Van","Number","195"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Other (incl. lorry)","Number","9"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Work mainly at or from home","Number","148"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Not stated","Number","160"
"Usually resident by means of travel to work","2022","Ardee, Co Louth","Total","Number","2228"
"Usually resident by means of travel to work","2022","Louth, Co Louth","On Foot","Number","10"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Bicycle","Number","2"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Bus, minibus or coach","Number","11"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Motorcycle or scooter","Number","1"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Car Driver","Number","188"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Car passenger","Number","18"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Van","Number","26"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Work mainly at or from home","Number","15"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Not stated","Number","10"
"Usually resident by means of travel to work","2022","Louth, Co Louth","Total","Number","283"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","On Foot","Number","11"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Bicycle","Number","1"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Bus, minibus or coach","Number","10"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Train, DART or LUAS","Number","3"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Car Driver","Number","193"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Car passenger","Number","17"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Van","Number","30"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Work mainly at or from home","Number","24"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Not stated","Number","10"
"Usually resident by means of travel to work","2022","Tallanstown, Co Louth","Total","Number","299"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","On Foot","Number","2"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Bicycle","Number","0"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Bus, minibus or coach","Number","3"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Train, DART or LUAS","Number","6"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Car Driver","Number","86"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Car passenger","Number","5"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Van","Number","10"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Work mainly at or from home","Number","13"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Not stated","Number","4"
"Usually resident by means of travel to work","2022","Gormanston, Co Meath","Total","Number","129"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","On Foot","Number","190"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Bicycle","Number","29"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Bus, minibus or coach","Number","560"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Train, DART or LUAS","Number","278"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Motorcycle or scooter","Number","23"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Car Driver","Number","4050"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Car passenger","Number","223"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Van","Number","411"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Other (incl. lorry)","Number","13"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Work mainly at or from home","Number","935"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Not stated","Number","273"
"Usually resident by means of travel to work","2022","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Total","Number","6985"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","On Foot","Number","49"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Bicycle","Number","4"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Bus, minibus or coach","Number","85"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Train, DART or LUAS","Number","64"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Motorcycle or scooter","Number","2"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Car Driver","Number","1199"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Car passenger","Number","72"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Van","Number","139"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Other (incl. lorry)","Number","5"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Work mainly at or from home","Number","192"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Not stated","Number","43"
"Usually resident by means of travel to work","2022","Stamullen, Co Meath","Total","Number","1854"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","On Foot","Number","8"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Bicycle","Number","1"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Bus, minibus or coach","Number","20"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Train, DART or LUAS","Number","4"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Motorcycle or scooter","Number","1"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Car Driver","Number","195"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Car passenger","Number","9"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Van","Number","20"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Work mainly at or from home","Number","37"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Not stated","Number","6"
"Usually resident by means of travel to work","2022","Julianstown, Co Meath","Total","Number","301"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","On Foot","Number","598"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Bicycle","Number","79"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Bus, minibus or coach","Number","676"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Train, DART or LUAS","Number","14"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Motorcycle or scooter","Number","38"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Car Driver","Number","4362"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Car passenger","Number","271"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Van","Number","395"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Other (incl. lorry)","Number","14"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Work mainly at or from home","Number","857"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Not stated","Number","228"
"Usually resident by means of travel to work","2022","Ashbourne, Co Meath","Total","Number","7532"
"Usually resident by means of travel to work","2022","Duleek, Co Meath","On Foot","Number","64"
"Usually resident by means of travel to work","2022","Duleek, Co Meath","Bicycle","Number","8"
"Usually resident by means of travel to work","2022","Duleek, Co Meath","Bus, minibus or coach","Number","73"
"Usually resident by means of travel to work","2022","Duleek, Co Meath","Train, DART or LUAS","Number","15"
"Usually resident by means of travel to work","2022","Duleek, Co Meath","Motorcycle or scooter","Number","4"
"Usually resident by means of travel to work","2022","Duleek, Co Meath","Car Driver","Number","1311"
